Keyword,Score
flown,0.1496
airframe,0.1494
deformable,0.1494
frictional,0.149
tailless,0.149
levy,0.1489
rupture,0.1488
outwards,0.1478
thermomechanics,0.1477
speeds,0.1477
struts,0.1477
falling,0.1475
flared,0.1474
hypersonic,0.1471
slip,0.1471
dislocation,0.1468
potential,0.1466
stresses,0.1465
deflected,0.1465
magnetofluidmechanics,0.1464
electrohydrodynamic,0.1463
plates,0.1462
fore,0.146
dissipation,0.1459
gasdynamic,0.1458
intuition,0.1457
payload,0.1456
orientation,0.1456
flying,0.1455
twisting,0.1454
volumetric,0.1453
shield,0.1451
vibrational,0.1451
lip,0.1449
subroutines,0.1447
vectors,0.1446
draws,0.1444
nozzle,0.1442
membranes,0.1439
sweptwing,0.1439
drosophila,0.1438
underside,0.1438
carried,0.1436
inward,0.1436
rotationally,0.1435
speed,0.1435
crank,0.1433
modeling,0.1433
slope,0.1432
derivations,0.1431
plate,0.1427
gliders,0.1427
dipole,0.1424
intake,0.1424
characteristically,0.1424
compressibility,0.1421
engined,0.142
windtunnels,0.1419
dissipative,0.1419
obliquely,0.1415
weakening,0.1414
tubular,0.1413
propelled,0.1404
differentials,0.1402
unstressed,0.1402
longitudinally,0.1402
rotational,0.14
sweptback,0.1398
spiked,0.1397
pitch,0.1395
unloaded,0.1394
incoming,0.1391
divergence,0.1391
semicircular,0.139
illustrations,0.1389
engine,0.1387
buoyancy,0.1384
undersurface,0.1382
reinforced,0.138
direction,0.1379
detached,0.1376
unpressurized,0.1376
plume,0.1373
conicals,0.1372
superaerodynamic,0.137
bluntnesses,0.1366
analyses,0.1366
stiffener,0.1365
impact,0.1364
fluxes,0.1362
downward,0.1362
uncambered,0.1361
penetrations,0.1359
conpressibility,0.1359
roughening,0.1358
airborne,0.1358
eroded,0.1358
wave,0.1358
rankine,0.1357
wedges,0.1357
entrained,0.1354
vortical,0.1353
hampered,0.1351
physcal,0.1351
pitchingmoment,0.1351
drawn,0.1351
motors,0.1351
axial,0.135
hovercraft,0.135
instabilities,0.135
roughnesses,0.1346
ducts,0.1345
outline,0.1345
definitions,0.1345
bypass,0.1344
roar,0.1342
longitudinal,0.1342
sublayer,0.1342
hypervelocity,0.1341
motor,0.134
torque,0.1339
draw,0.1338
moves,0.1337
semiapex,0.1334
iferation,0.1333
burst,0.1333
irrotational,0.1329
bump,0.1327
shape,0.1327
displaced,0.1327
conical,0.1327
modeled,0.1325
transfer,0.1325
retrovelocity,0.1319
explanations,0.1317
boattailing,0.1316
borne,0.1314
electrostatically,0.1314
elliptical,0.1312
accentuated,0.1311
penetrating,0.131
effusion,0.1309
shifting,0.1306
absorbing,0.1305
flexibilities,0.1304
smoothness,0.1301
insulates,0.13
orifices,0.1299
polystyrene,0.1298
loadings,0.1298
lyskov,0.1296
aerial,0.1296
jump,0.1291
angled,0.1289
tensile,0.1286
attachments,0.1284
kinematic,0.1284
semicircle,0.1283
excitations,0.1282
circumferential,0.1281
transport,0.1281
emerges,0.1278
demarcation,0.1276
magnetoacoustic,0.1276
pressureized,0.1276
engineering,0.1274
designs,0.1274
transfers,0.1272
gravity,0.1272
planes,0.1271
arm,0.1266
rise,0.1266
descending,0.1265
flapping,0.1263
cantilever,0.1261
downwards,0.1261
bluntness,0.126
escape,0.1259
effected,0.1258
spurious,0.1257
tripping,0.1254
evolve,0.1253
acoustics,0.1253
bernoulli,0.1248
dynamical,0.1248
mechanical,0.1248
wedge,0.1247
unidirectionally,0.1247
stabilizers,0.1246
unidirectional,0.1243
attachment,0.1243
cavitating,0.1241
flux,0.1237
alterations,0.1232
blocks,0.1232
stability,0.1231
walled,0.1229
vessel,0.1227
restrained,0.1225
shoulder,0.1224
surge,0.1223
structures,0.122
ensuing,0.122
jetlike,0.122
oscillations,0.1217
oriented,0.1217
shielded,0.1216
overpressures,0.1215
booster,0.1214
evolved,0.1212
deflagration,0.1209
conically,0.1208
segments,0.1206
smoothing,0.1204
simulations,0.1204
photoelastic,0.1204
pulses,0.1202
upstream,0.1201
rheological,0.12
blunting,0.12
diagrams,0.1199
transferring,0.1197
clamped,0.1197
slider,0.1197
semispan,0.1196
centripetal,0.1195
nonlifting,0.1195
shapes,0.1194
curling,0.1192
missile,0.1192
sheets,0.119
duct,0.1187
descents,0.1186
elongated,0.1184
sweepback,0.1184
flash,0.1183
fast,0.1182
adaptation,0.1179
immersed,0.1178
entails,0.1177
cylindrical,0.1177
convected,0.1174
membrane,0.1174
rapidly,0.1171
maneuver,0.1169
inertial,0.1169
maneuvering,0.1169
compressors,0.1166
circulatory,0.1166
cylinders,0.1165
pipe,0.1163
unduly,0.1163
isovel,0.1163
incompressible,0.1161
acoustical,0.1161
formulations,0.1159
rigid,0.1158
climb,0.1154
jet,0.1152
stages,0.1151
hyperbolic,0.1151
induces,0.115
penetration,0.1149
rotations,0.1147
pitching,0.1147
absorption,0.1145
turbo,0.1145
drop,0.1144
headings,0.1143
distortions,0.1143
vibrating,0.1142
mph,0.1141
sedimentation,0.114
slewed,0.1139
frames,0.1138
notches,0.1138
reanalysis,0.1135
rocket,0.1134
physically,0.1133
axially,0.113
interpretations,0.1129
radial,0.1129
semiballistic,0.1128
upflow,0.1128
faster,0.1126
salmon,0.1125
contour,0.1125
underestimates,0.112
exhaustive,0.1119
coatings,0.1117
turbomachines,0.1116
quickly,0.1116
advances,0.1115
deflecting,0.1115
undamped,0.1114
antielastic,0.1113
deformed,0.1112
diverges,0.1112
lateral,0.1112
elliptically,0.111
simulate,0.1109
bending,0.1109
curvatures,0.1106
cutouts,0.1102
noncirculatory,0.11
throttle,0.11
boattails,0.1099
rivet,0.1098
perimeter,0.1098
hitting,0.1097
rising,0.1097
rectilinear,0.1096
hinged,0.1096
stimulus,0.1095
thinner,0.1095
schlieren,0.1094
flexible,0.1092
pipes,0.1092
impair,0.1091
afterburning,0.1089
divergent,0.1088
curving,0.1087
markedly,0.1085
corrugated,0.1084
acoustic,0.1084
radially,0.1083
oscillation,0.1083
departures,0.1082
cruciform,0.1082
wakelike,0.108
evaluations,0.108
isobars,0.1078
1x10,0.1077
dispersion,0.1075
frame,0.1075
spike,0.1074
curvilinear,0.1073
ramp,0.1072
hammerhead,0.1072
acoustically,0.1072
multilayer,0.1071
lowers,0.107
experimentally,0.1069
enhanced,0.1068
hypersoule,0.1067
compressor,0.1067
conceptions,0.1066
successively,0.1065
vlasov,0.1065
contoured,0.1065
lightweight,0.1064
undeformed,0.1063
torsion,0.1063
transformations,0.1062
aerothermochemical,0.1061
braking,0.106
instantaneous,0.106
missiles,0.106
illustrate,0.106
swept,0.106
schlichting,0.1058
nosed,0.1057
discharges,0.1056
rigorously,0.1056
depicting,0.1055
springs,0.1054
yeilds,0.1052
noticeably,0.1052
faces,0.1052
edged,0.1052
experimental,0.1052
woven,0.1052
unreality,0.105
trajectories,0.1049
designing,0.1049
thicker,0.1047
cambered,0.1046
quadratures,0.1045
aerothermal,0.1045
subsequently,0.1045
foregoing,0.1043
overswing,0.1041
demonstrates,0.1041
analytic,0.1041
laterally,0.104
rotors,0.1039
spans,0.1038
isentropic,0.1035
combustion,0.1035
liapunov,0.1035
cascades,0.1034
underexpansion,0.1033
prospects,0.1032
stall,0.1032
conservation,0.1031
bearing,0.103
retrocket,0.1028
thermomechanical,0.1028
uncooled,0.1026
rigorous,0.1026
quick,0.1025
visual,0.1025
wetted,0.1024
engesser,0.1022
prandtl,0.102
sideforce,0.102
deduce,0.102
unfolding,0.1019
flex,0.1019
extensible,0.1017
submerged,0.1017
conclusions,0.1017
transferred,0.1017
orifice,0.1017
spillage,0.1016
weighted,0.1016
blunted,0.1016
experiment,0.1016
dicsovering,0.1015
filaments,0.1015
warhead,0.1015
maxwellian,0.1014
progressively,0.1014
transition,0.1014
afterburner,0.1012
rigidly,0.1012
geckeler,0.1012
derivation,0.1011
thickening,0.1011
dropped,0.1009
removed,0.1009
briefly,0.1009
collision,0.1009
magnetohydrodynamics,0.1009
drew,0.1008
deposited,0.1008
sheet,0.1008
variational,0.1007
overpressure,0.1007
recompression,0.1006
conservativeness,0.1005
afterbody,0.1004
surfaces,0.1003
shesterikov,0.1002
moment,0.1002
jets,0.1001
lever,0.0999
anisotropic,0.0998
twisted,0.0997
smooth,0.0997
bursts,0.0995
explosive,0.0995
head,0.0993
magnetoaerodynamic,0.0993
movement,0.0993
techniques,0.0991
inhibited,0.0991
derivatives,0.0991
cylinderical,0.0991
block,0.0991
semi,0.099
formulation,0.099
differentiations,0.0989
protrusion,0.0988
resultants,0.0987
fundamentals,0.0987
decrement,0.0987
spherically,0.0987
shaft,0.0986
telegraph,0.0985
depth,0.0985
paradoxes,0.0984
depths,0.0984
bessel,0.0983
vertical,0.0983
affect,0.0983
landing,0.0982
analyze,0.0981
tend,0.098
roughness,0.0979
paraboloidal,0.0978
bend,0.0978
gravitational,0.0976
technique,0.0976
blunter,0.0976
link,0.0975
wendt,0.0975
influenced,0.0975
frictionless,0.0974
whisker,0.0973
underestimate,0.0972
curvature,0.0972
accelerators,0.097
nondimensional,0.0969
deduced,0.0969
hastening,0.0969
angle,0.0969
reversals,0.0969
shroud,0.0967
thermodynamic,0.0967
assists,0.0966
photothermoelastic,0.0966
wets,0.0965
fronts,0.0965
whirling,0.0964
induced,0.0964
blast,0.0963
differential,0.0963
explosion,0.0962
strengthening,0.096
steady,0.0958
thermodynamics,0.0957
gain,0.0953
monopole,0.0953
precession,0.0953
pulse,0.0953
boltzmann,0.0951
structural,0.095
notch,0.095
supplementary,0.0949
facilitates,0.0949
direct,0.0949
strictly,0.0948
thins,0.0948
lowering,0.0946
cropped,0.0945
unbounded,0.0945
rotated,0.0945
deductions,0.0944
discharge,0.0942
asymptotes,0.0941
centrifugal,0.094
influences,0.094
blockage,0.094
dihedral,0.0939
heading,0.0939
scruton,0.0939
illustrated,0.0939
foils,0.0939
illustration,0.0939
spiralling,0.0939
ambiguity,0.0938
liquids,0.0938
classification,0.0938
heavier,0.0938
modulating,0.0937
hardening,0.0936
magnitudes,0.0936
steadily,0.0936
stabilizer,0.0936
choked,0.0935
ii,0.0934
weakly,0.0931
window,0.0928
transducer,0.0928
lightly,0.0928
receives,0.0928
footing,0.0925
launching,0.0924
decreases,0.0924
chase,0.0924
sublimation,0.0924
disturbance,0.0924
angles,0.0924
noncircular,0.0923
obtainec,0.0922
versatility,0.0921
tilted,0.0921
extents,0.092
design,0.0919
horizontal,0.0919
attack,0.0918
paraboloid,0.0918
distortion,0.0917
erature,0.0916
carrying,0.0916
altitudes,0.0913
piercy,0.0913
100x10,0.0913
carry,0.0912
parallell,0.0911
rotation,0.0911
conceptual,0.0909
suction,0.0909
simulates,0.0908
edges,0.0907
implications,0.0906
demonstration,0.0906
tendencies,0.0905
ascertained,0.0904
consequence,0.0904
unrealistic,0.0903
thesis,0.0903
surface,0.0903
stagnation,0.0902
apparent,0.0901
nonlinearity,0.0901
rotating,0.0901
mesh,0.09
laplacian,0.09
weighs,0.09
strength,0.09
wassermann,0.0898
inboard,0.0898
friedrichs,0.0897
bearings,0.0896
deflexion,0.0895
sharply,0.0895
bluntnosed,0.0895
demonstrate,0.0895
simulating,0.0894
mediums,0.0894
dynamic,0.0894
nonflammable,0.0893
departs,0.0893
evaporation,0.0892
magnetohydrodynamical,0.0892
interpretation,0.0892
derives,0.089
rotor,0.0889
flexibility,0.0889
empirically,0.0889
spheroid,0.0889
accelerator,0.0889
aerocosmonautics,0.0887
choke,0.0887
stabilized,0.0887
equicohesive,0.0886
aerfoils,0.0886
retrorocket,0.0885
air,0.0882
departure,0.0882
phenomena,0.0881
planforms,0.088
maxwell,0.088
exterior,0.0878
load,0.0878
heads,0.0878
movements,0.0878
redirecting,0.0877
forebody,0.0877
inert,0.0877
airplane,0.0877
assessment,0.0877
flutter,0.0876
intractable,0.0876
compressible,0.0876
distorting,0.0876
des,0.0875
d1,0.0875
characterized,0.0875
flap,0.0874
plausible,0.0873
spiral,0.0873
loaded,0.0873
throw,0.0871
caravelle,0.0871
frontal,0.0871
fin,0.0871
broadening,0.0871
evaluates,0.087
dy,0.0868
pluming,0.0867
flexibly,0.0867
exhausting,0.0866
terminology,0.0866
undergoes,0.0863
reflex,0.0863
beneath,0.0861
headed,0.0859
inhomogeneous,0.0858
weighting,0.0858
sustained,0.0857
defy,0.0857
complements,0.0856
drift,0.0854
impression,0.0854
prototype,0.0853
analyzes,0.0853
prominences,0.0852
unintentionally,0.0851
breguet,0.085
plausibly,0.085
adjustable,0.0849
cutout,0.0848
attacking,0.0848
moments,0.0847
acrodynamic,0.0847
strains,0.0846
partial,0.0846
beams,0.0846
transpiration,0.0845
diffusion,0.0843
blowdown,0.0843
slower,0.0842
illustrates,0.0841
filament,0.0841
buoyant,0.084
dryden,0.0839
asymptote,0.0839
continuum,0.0838
structure,0.0838
electroformed,0.0837
forming,0.0837
tilt,0.0836
define,0.0835
cascade,0.0835
magnitude,0.0835
obstacle,0.0834
piston,0.0832
dispersed,0.0832
coaxial,0.0831
collisions,0.0831
visualisation,0.0831
absorbed,0.0831
cones,0.083
scattering,0.083
consequences,0.083
span,0.083
reflection,0.0829
arrow,0.0829
distributions,0.0829
gained,0.0829
explicit,0.0828
thrown,0.0828
pound,0.0827
ellipticity,0.0827
firings,0.0826
poisson,0.0824
lengthened,0.0824
generator,0.0824
analysis,0.0824
lubricant,0.0821
feedback,0.082
forward,0.0819
kirchhoff,0.0819
envelopes,0.0818
tractions,0.0818
sections,0.0817
attenuation,0.0817
analogous,0.0817
hemispheres,0.0817
projected,0.0816
sweeping,0.0816
reversibility,0.0815
questionable,0.0815
spark,0.0814
shortening,0.0814
conception,0.0813
lyapunov,0.0812
destalling,0.0812
favorably,0.0812
shedding,0.0812
induce,0.081
defined,0.0809
slabs,0.0807
scalar,0.0807
definition,0.0807
nonlinear,0.0806
jouguet,0.0805
25x10,0.0805
shifted,0.0805
cylinder,0.0804
echoes,0.0803
rose,0.0803
nonrotating,0.0802
exercises,0.0802
spherical,0.0802
past,0.0802
graphical,0.0802
analyzing,0.0802
damaging,0.0801
curtain,0.0801
ellipsoids,0.0801
manoeuvre,0.08
bridging,0.08
calculus,0.08
convect,0.08
lowered,0.08
servos,0.0799
protruding,0.0799
transforms,0.0797
nondimensionalized,0.0797
illustrative,0.0796
nautical,0.0795
sweep,0.0795
inversions,0.0794
withdrawal,0.0794
resonances,0.0794
affects,0.0794
descriptions,0.0794
advancing,0.0793
flares,0.0793
capillary,0.0792
3x10,0.0792
semiempirically,0.0792
hodograph,0.0791
propagation,0.0791
janzen,0.0791
methods,0.079
roughened,0.0789
prone,0.0788
ovals,0.0788
analyzed,0.0788
isobar,0.0788
visualization,0.0788
entrance,0.0786
joule,0.0785
analogies,0.0785
magnetohydrodynamic,0.0785
strouhal,0.0784
unfired,0.0784
flexural,0.0784
curved,0.0784
restraint,0.0784
torsional,0.0784
unexplained,0.0783
quadrupole,0.0783
lines,0.0783
integrations,0.0782
cantilevered,0.0781
bifurcation,0.078
enters,0.078
reimpinge,0.0779
steamline,0.0778
hollow,0.0778
stretching,0.0778
circulating,0.0778
press,0.0778
boost,0.0778
experiments,0.0778
hypothetical,0.0777
talbot,0.0776
classifications,0.0775
loads,0.0775
hysteresis,0.0774
defence,0.0774
laminar,0.0774
heavy,0.0774
diagram,0.0774
analyticially,0.0773
laminary,0.0773
unrestrained,0.0773
helicopter,0.0773
undrooped,0.0772
shifts,0.0771
feldman,0.077
utilzation,0.077
integrands,0.077
rsults,0.0769
warped,0.0769
processes,0.0769
reexamination,0.0768
lb,0.0768
fuels,0.0767
relativistic,0.0767
detachment,0.0767
8x10,0.0767
loading,0.0767
sturm,0.0766
reservoir,0.0766
semivertex,0.0766
evaluation,0.0766
wanlass,0.0765
roy,0.0765
launched,0.0765
exercise,0.0764
added,0.0763
sideslipping,0.0763
exerts,0.0763
hinge,0.0763
accidental,0.0762
dissertation,0.0761
epoxy,0.076
rods,0.076
rearward,0.076
descent,0.076
skewed,0.0759
phenomenon,0.0759
hypothesis,0.0759
eddies,0.0759
hovering,0.0759
altitude,0.0759
advance,0.0758
superposition,0.0757
barrel,0.0756
additional,0.0756
flatness,0.0755
reshotko,0.0754
adverse,0.0754
subarcs,0.0754
raises,0.0754
currents,0.0753
calculations,0.0753
extrapolations,0.0751
evidenced,0.0751
envelope,0.0751
spheroids,0.075
hazard,0.075
loose,0.0748
er,0.0748
neumann,0.0748
ducting,0.0747
aerelastic,0.0746
retained,0.0746
coefficient,0.0745
pressurized,0.0745
pitches,0.0745
arrive,0.0744
evaluated,0.0744
hpyersonic,0.0743
enclosing,0.0743
directions,0.0742
yielding,0.074
eddy,0.074
midspan,0.074
outboard,0.0739
erosive,0.0739
untwisted,0.0739
concepts,0.0739
evaporates,0.0739
naval,0.0738
reversible,0.0738
permeability,0.0737
clearly,0.0737
broad,0.0735
hartree,0.0734
shift,0.0734
stein,0.0733
supercritical,0.0731
rocketon,0.0731
spheric,0.0731
sedov,0.073
presentation,0.073
examples,0.0729
ied,0.0728
plots,0.0727
liquid,0.0727
midchord,0.0726
viz,0.0726
kirchhoffs,0.0725
infer,0.0725
slow,0.0725
derived,0.0725
hoops,0.0725
vice,0.0724
contradictions,0.0724
detrimental,0.0724
emitted,0.0723
vane,0.0723
bubbles,0.0723
immovable,0.0722
muller,0.0721
insulation,0.0721
substantially,0.0721
9x10,0.0721
trapezoidal,0.072
seidel,0.072
designers,0.0719
detonations,0.0719
graphically,0.0719
reflections,0.0719
fringe,0.0718
process,0.0718
fundamental,0.0718
releasing,0.0717
openings,0.0717
panels,0.0717
virtually,0.0716
appended,0.0716
penetrates,0.0716
erfc,0.0715
slight,0.0715
avoids,0.0715
models,0.0715
instructive,0.0715
reversal,0.0715
bluff,0.0714
thicken,0.0714
boattail,0.0714
hopf,0.0713
swallows,0.0713
attract,0.0713
hadamard,0.0713
substantial,0.0713
powerplants,0.0713
vibrated,0.0713
supplement,0.0712
influencing,0.0711
segment,0.071
sidewall,0.071
inadvertently,0.071
diverging,0.071
unperturbed,0.0708
u1,0.0707
holding,0.0707
ascertain,0.0707
singularity,0.0706
theories,0.0706
undershoot,0.0706
airliner,0.0706
force,0.0706
trailing,0.0705
distort,0.0704
aforementioned,0.0703
trim,0.0702
appendices,0.0701
unswept,0.0701
prewhirl,0.0699
studies,0.0699
integrals,0.0698
unretarded,0.0698
graded,0.0697
dp,0.0697
ellipsoidal,0.0696
reichardt,0.0696
ludwieg,0.0696
reattaching,0.0695
slowing,0.0693
receiving,0.0693
resultant,0.0693
geodesics,0.0692
shallower,0.0691
leeward,0.069
rotate,0.069
bifurcated,0.0689
sprague,0.0689
carefully,0.0689
retaining,0.0689
tracing,0.0689
increments,0.0688
additive,0.0688
eccentricities,0.0687
chain,0.0687
atmospheres,0.0687
modulated,0.0686
seban,0.0686
canted,0.0686
suddenly,0.0686
berger,0.0685
depart,0.0685
theoretical,0.0685
branchline,0.0685
blunt,0.0685
actual,0.0684
statements,0.0684
introduring,0.0684
tension,0.0684
acquisition,0.0684
choking,0.0684
confirm,0.0683
thickened,0.0683
6x10,0.0683
brief,0.0682
ducted,0.0682
blowout,0.0682
shielding,0.0682
criticism,0.0681
steadiness,0.0681
designed,0.0681
drooped,0.0681
boat,0.0681
1947,0.068
peculiarities,0.068
drops,0.068
rewrites,0.068
hoop,0.0679
subcritical,0.0679
geometrically,0.0678
handicaps,0.0678
derive,0.0678
slug,0.0677
retain,0.0677
deeper,0.0676
singularities,0.0676
significantly,0.0675
buckled,0.0675
strong,0.0675
stabilize,0.0675
untested,0.0674
unaffected,0.0673
entail,0.0673
lucid,0.0672
duration,0.0672
threaten,0.0671
explicitly,0.0671
detonation,0.0671
breadth,0.067
poiseuille,0.067
stationary,0.067
straightness,0.067
laminate,0.067
geometrical,0.0669
inconsistencies,0.0668
horizontally,0.0668
dx,0.0668
boundaries,0.0668
delay,0.0668
clamping,0.0667
humphreys,0.0667
stalling,0.0667
opening,0.0667
extrapolating,0.0667
losses,0.0666
asymmetries,0.0666
conclude,0.0666
reflected,0.0666
hangling,0.0665
injector,0.0665
riddell,0.0664
sonic,0.0664
extent,0.0664
deuce,0.0663
succession,0.0663
schwarz,0.0663
unbalanced,0.0663
margin,0.0663
overhang,0.0662
internally,0.0662
sectioned,0.0662
irreversibility,0.0662
develop,0.0662
goldstein,0.0661
mid,0.0661
grunow,0.0661
geometries,0.0661
exhausted,0.0661
interactions,0.0661
heats,0.066
variation,0.066
psi,0.066
engineers,0.066
residual,0.0659
bullets,0.0659
arriving,0.0659
energies,0.0658
coming,0.0658
immediate,0.0657
differentiates,0.0657
attractive,0.0656
diminishes,0.0656
assessments,0.0656
transonic,0.0655
981,0.0655
lighthill,0.0654
reversed,0.0654
skew,0.0654
nonaxisymmetric,0.0652
emmons,0.0651
hemisphere,0.0651
floating,0.0651
jeffery,0.065
debye,0.065
alteration,0.065
slice,0.0649
forebodies,0.0649
2x10,0.0649
rott,0.0648
seas,0.0648
taps,0.0647
acrothermochemistry,0.0646
discontinuities,0.0645
shaped,0.0645
elliptic,0.0645
complement,0.0645
inflection,0.0643
shocked,0.0643
theoretically,0.0642
perturbations,0.0642
rameter,0.0641
et,0.0641
sudden,0.0641
coefficients,0.0641
vanishingly,0.064
nd,0.064
flat,0.064
received,0.064
spanning,0.064
analogously,0.064
conclusion,0.0639
statical,0.0639
yarymovych,0.0638
external,0.0638
critically,0.0638
rudimentary,0.0637
uniaxial,0.0636
overshoot,0.0636
arising,0.0636
insulating,0.0636
curve,0.0636
enjoy,0.0635
implicit,0.0635
exposition,0.0635
develops,0.0635
studied,0.0635
yawing,0.0635
diminished,0.0635
complementary,0.0635
