Keyword,Score
aerodynamics,0.5466
slipstream,0.3909
unsteadiness,0.3798
viscoelasticity,0.3361
shocks,0.332
gust,0.3095
drag,0.3007
lifting,0.2947
shears,0.2807
viscid,0.2538
flowmeter,0.2455
deceleration,0.2455
deflection,0.2448
transient,0.2422
streamlining,0.2388
ballistic,0.2362
freestream,0.2345
tailplane,0.2223
acrothermoelasticity,0.2172
hydroballistic,0.2163
mechanisms,0.2029
slopes,0.1925
diaphragm,0.1864
navier,0.1762
subsonically,0.1699
layer,0.1689
illustrating,0.1639
characteristic,0.1629
sommerfeld,0.1532
staticpressure,0.1515
electrohydrodynamic,0.1463
intuition,0.1457
drosophila,0.1438
sweptback,0.1398
bypass,0.1344
stages,0.1151
reanalysis,0.1135
dicsovering,0.1015
derivation,0.1011
ascertained,0.0904
redirecting,0.0877
define,0.0835
induce,0.081
dissertation,0.0761
appendices,0.0701
1947,0.068
discontinuities,0.0645
0001,0.0529
11in,0.0381
agrees,0.0015
